teensy_ms,esp_ms,sensor,temperature,humidity,pressure,gas
265121,390534,ENV,22.32,61.53,0.00,0.00
266121,391534,ENV,22.31,61.54,0.00,0.00
267121,392534,ENV,22.33,61.55,0.00,0.00
268121,393534,ENV,22.33,61.57,0.00,0.00
269121,394534,ENV,22.31,61.55,0.00,0.00
270121,395534,ENV,22.31,61.51,0.00,0.00
271121,396534,ENV,22.31,61.50,0.00,0.00
272121,397534,ENV,22.31,61.43,0.00,0.00
273121,398534,ENV,22.32,61.43,0.00,0.00
274121,399534,ENV,22.31,61.45,0.00,0.00
275121,400534,ENV,22.32,61.47,0.00,0.00
276121,401534,ENV,22.32,61.46,0.00,0.00
277121,402534,ENV,22.31,61.50,0.00,0.00
278121,403534,ENV,22.31,61.52,0.00,0.00
279121,404534,ENV,22.30,61.55,0.00,0.00
280121,405534,ENV,22.31,61.57,0.00,0.00
4832,412534,ENV,23.87,63.68,0.00,0.00
5832,413534,ENV,24.74,64.85,0.00,0.00
6832,414534,ENV,25.25,65.88,0.00,0.00
4042,415534,ENV,25.61,67.11,0.00,0.00
4320,419534,ENV,25.69,65.09,0.00,0.00
5320,420534,ENV,25.45,63.30,0.00,0.00
6320,421534,ENV,25.25,61.89,0.00,0.00
7320,422534,ENV,25.11,60.77,0.00,0.00
8320,423534,ENV,24.96,59.93,0.00,0.00
9320,424534,ENV,24.85,59.24,0.00,0.00
10320,425534,ENV,24.75,58.75,0.00,0.00
11320,426534,ENV,24.66,58.36,0.00,0.00
12320,427534,ENV,24.59,58.04,0.00,0.00
13320,428534,ENV,24.53,57.74,0.00,0.00
14320,429534,ENV,24.47,57.54,0.00,0.00
15320,430534,ENV,24.40,57.36,0.00,0.00
16320,431534,ENV,24.35,57.25,0.00,0.00
17320,432534,ENV,24.29,57.16,0.00,0.00
18320,433534,ENV,24.26,57.08,0.00,0.00
19320,434534,ENV,24.23,57.07,0.00,0.00
20320,435534,ENV,24.20,57.00,0.00,0.00
21320,436534,ENV,24.17,56.98,0.00,0.00
22320,437534,ENV,24.14,56.97,0.00,0.00
23320,438534,ENV,24.11,56.99,0.00,0.00
24320,439534,ENV,24.08,56.97,0.00,0.00
25320,440534,ENV,24.05,57.01,0.00,0.00
26320,441534,ENV,24.04,57.06,0.00,0.00
27320,442534,ENV,24.01,57.07,0.00,0.00
28320,443534,ENV,23.99,57.11,0.00,0.00
29320,444534,ENV,23.97,57.18,0.00,0.00
30320,445534,ENV,23.93,57.21,0.00,0.00
31320,446534,ENV,23.92,57.25,0.00,0.00
32320,447534,ENV,23.90,57.29,0.00,0.00
33320,448534,ENV,23.90,57.30,0.00,0.00
34320,449534,ENV,23.86,57.36,0.00,0.00
35320,450534,ENV,23.85,57.40,0.00,0.00
36320,451534,ENV,23.83,57.43,0.00,0.00
37320,452534,ENV,23.81,57.49,0.00,0.00
38320,453534,ENV,23.79,57.58,0.00,0.00
39320,454534,ENV,23.77,57.61,0.00,0.00
40320,455534,ENV,23.77,57.66,0.00,0.00
41320,456534,ENV,23.74,57.74,0.00,0.00
42320,457534,ENV,23.73,57.74,0.00,0.00
43320,458534,ENV,23.71,57.80,0.00,0.00
44320,459534,ENV,23.68,57.87,0.00,0.00
45320,460534,ENV,23.68,57.87,0.00,0.00
46320,461534,ENV,23.67,57.91,0.00,0.00
47320,462534,ENV,23.64,57.91,0.00,0.00
48320,463534,ENV,23.63,57.99,0.00,0.00
49320,464534,ENV,23.63,57.98,0.00,0.00
50320,465534,ENV,23.61,57.99,0.00,0.00
51320,466534,ENV,23.60,57.96,0.00,0.00
52320,467534,ENV,23.58,57.94,0.00,0.00
53320,468534,ENV,23.56,57.95,0.00,0.00
54320,469534,ENV,23.56,58.01,0.00,0.00
55320,470534,ENV,23.54,58.05,0.00,0.00
56319,471534,ENV,23.53,58.07,0.00,0.00
57319,472534,ENV,23.52,58.11,0.00,0.00
58319,473534,ENV,23.51,58.11,0.00,0.00
59319,474534,ENV,23.49,58.09,0.00,0.00
60319,475534,ENV,23.47,58.16,0.00,0.00
61319,476534,ENV,23.48,58.18,0.00,0.00
62319,477534,ENV,23.46,58.23,0.00,0.00
63319,478534,ENV,23.45,58.23,0.00,0.00
64319,479534,ENV,23.45,58.29,0.00,0.00
65319,480534,ENV,23.41,58.33,0.00,0.00
66319,481534,ENV,23.42,58.38,0.00,0.00
67319,482534,ENV,23.40,58.43,0.00,0.00
68319,483534,ENV,23.39,58.45,0.00,0.00
69319,484534,ENV,23.38,58.51,0.00,0.00
70319,485534,ENV,23.38,58.50,0.00,0.00
71319,486534,ENV,23.35,58.52,0.00,0.00
72319,487534,ENV,23.34,58.55,0.00,0.00
73319,488534,ENV,23.33,58.55,0.00,0.00
74319,489534,ENV,23.31,58.57,0.00,0.00
75319,490534,ENV,23.32,58.62,0.00,0.00
76319,491534,ENV,23.31,58.68,0.00,0.00
77319,492534,ENV,23.29,58.65,0.00,0.00
78319,493534,ENV,23.28,58.67,0.00,0.00
79319,494534,ENV,23.26,58.71,0.00,0.00
80319,495534,ENV,23.26,58.77,0.00,0.00
81319,496534,ENV,23.27,58.78,0.00,0.00
82319,497534,ENV,23.23,58.84,0.00,0.00
83319,498534,ENV,23.23,58.83,0.00,0.00
84319,499534,ENV,23.22,58.83,0.00,0.00
85319,500534,ENV,23.21,58.82,0.00,0.00
86319,501534,ENV,23.18,58.83,0.00,0.00
87319,502534,ENV,23.18,58.85,0.00,0.00
88319,503534,ENV,23.18,58.86,0.00,0.00
89319,504534,ENV,23.16,58.90,0.00,0.00
90319,505534,ENV,23.15,58.94,0.00,0.00
91319,506534,ENV,23.13,58.96,0.00,0.00
92319,507534,ENV,23.14,59.02,0.00,0.00
93319,508534,ENV,23.12,59.07,0.00,0.00
94319,509534,ENV,23.12,59.13,0.00,0.00
95319,510534,ENV,23.10,59.19,0.00,0.00
96319,511534,ENV,23.08,59.24,0.00,0.00
97319,512534,ENV,23.08,59.26,0.00,0.00
98319,513534,ENV,23.07,59.30,0.00,0.00
99319,514534,ENV,23.07,59.31,0.00,0.00
100319,515534,ENV,23.06,59.33,0.00,0.00
101319,516534,ENV,23.05,59.36,0.00,0.00
102319,517534,ENV,23.03,59.38,0.00,0.00
103319,518534,ENV,23.02,59.41,0.00,0.00
104319,519534,ENV,23.03,59.43,0.00,0.00
105319,520534,ENV,23.02,59.44,0.00,0.00
106319,521534,ENV,23.01,59.45,0.00,0.00
107319,522534,ENV,23.00,59.45,0.00,0.00
108319,523534,ENV,22.99,59.48,0.00,0.00
109318,524534,ENV,22.99,59.49,0.00,0.00
110318,525534,ENV,22.97,59.49,0.00,0.00
111318,526534,ENV,22.96,59.44,0.00,0.00
112318,527534,ENV,22.97,59.45,0.00,0.00
113318,528534,ENV,22.97,59.41,0.00,0.00
114318,529534,ENV,22.96,59.44,0.00,0.00
115318,530534,ENV,22.95,59.45,0.00,0.00
116318,531534,ENV,22.94,59.42,0.00,0.00
117318,532534,ENV,22.95,59.42,0.00,0.00
118318,533534,ENV,22.93,59.43,0.00,0.00
119318,534534,ENV,22.92,59.44,0.00,0.00
120318,535534,ENV,22.91,59.50,0.00,0.00
121318,536534,ENV,22.92,59.54,0.00,0.00
122318,537534,ENV,22.92,59.61,0.00,0.00
123318,538534,ENV,22.90,59.66,0.00,0.00
124318,539534,ENV,22.89,59.68,0.00,0.00
125318,540534,ENV,22.88,59.70,0.00,0.00
126318,541534,ENV,22.86,59.68,0.00,0.00
127318,542534,ENV,22.87,59.71,0.00,0.00
128318,543534,ENV,22.86,59.74,0.00,0.00
129318,544534,ENV,22.86,59.78,0.00,0.00
130318,545534,ENV,22.84,59.79,0.00,0.00
131318,546534,ENV,22.84,59.81,0.00,0.00
132318,547534,ENV,22.85,59.83,0.00,0.00
133318,548534,ENV,22.83,59.85,0.00,0.00
134318,549534,ENV,22.83,59.90,0.00,0.00
135318,550534,ENV,22.82,59.89,0.00,0.00
136318,551534,ENV,22.82,59.93,0.00,0.00
137318,552534,ENV,22.79,59.95,0.00,0.00
138318,553534,ENV,22.81,59.98,0.00,0.00
139318,554534,ENV,22.78,60.01,0.00,0.00
140318,555534,ENV,22.79,60.03,0.00,0.00
141318,556534,ENV,22.79,60.05,0.00,0.00
142318,557534,ENV,22.78,60.04,0.00,0.00
143318,558534,ENV,22.76,60.06,0.00,0.00
144318,559534,ENV,22.76,60.03,0.00,0.00
145318,560534,ENV,22.77,60.01,0.00,0.00
146318,561534,ENV,22.76,59.95,0.00,0.00
147318,562534,ENV,22.73,59.96,0.00,0.00
148318,563534,ENV,22.74,59.95,0.00,0.00
